"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"20","Q91WJ8","ENSMUSG00000028034","20.1.1","FUBP1","ENSG00000162613","far upstream element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4004]"
"21","Q9EP71","ENSMUSG00000022246","21.1.1","RAI14","ENSG00000039560","retinoic acid induced 14 [Source:HGNC Symbol;Acc:HGNC:14873]"
"22","Q9JIK5","ENSMUSG00000020075","22.1.1","DDX21","ENSG00000165732","DExD-box helicase 21 [Source:HGNC Symbol;Acc:HGNC:2744]"
"23","A2RSY6","N/A","23.1.1","N/A","N/A","N/A"
"24","P27546","ENSMUSG00000032479","24.1.1","MAP4","ENSG00000047849","microtubule associated protein 4 [Source:HGNC Symbol;Acc:HGNC:6862]"
"25","P62908","ENSMUSG00000030744","25.1.1","RPS3","ENSG00000149273","ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]"
"26","P63037","ENSMUSG00000028410","26.1.1","N/A","N/A","N/A"
"27","P70372","ENSMUSG00000040028","27.1.1","ELAVL1","ENSG00000066044","ELAV like RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3312]"
"28","Q91VC3","ENSMUSG00000025580","28.1.1","EIF4A3","ENSG00000141543","eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]"
"29","Q9D0P7","ENSMUSG00000068744","29.1.1","PSRC1","ENSG00000134222","proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]"
"30","Q922V4","ENSMUSG00000027998","30.1.1","PLRG1","ENSG00000171566","pleiotropic regulator 1 [Source:HGNC Symbol;Acc:HGNC:9089]"
"31","P83882","ENSMUSG00000049751","31.1.1","N/A","N/A","N/A"
"31","P83882","ENSMUSG00000079435","31.2.1","RPL36A","ENSG00000241343","ribosomal protein L36a [Source:HGNC Symbol;Acc:HGNC:10359]"
"32","Q3TLH4","ENSMUSG00000040225","32.1.1","PRRC2C","ENSG00000117523","proline rich coiled-coil 2C [Source:HGNC Symbol;Acc:HGNC:24903]"
"33","Q6NS46","ENSMUSG00000025047","33.1.1","PDCD11","ENSG00000148843","programmed cell death 11 [Source:HGNC Symbol;Acc:HGNC:13408]"
"34","Q6ZWN5","ENSMUSG00000006333","34.1.1","RPS9","ENSG00000170889","ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442]"
"35","Q8R151","ENSMUSG00000039501","35.1.1","ZNFX1","ENSG00000124201","zinc finger NFX1-type containing 1 [Source:HGNC Symbol;Acc:HGNC:29271]"
"36","Q8VDJ3","ENSMUSG00000034088","36.1.1","HDLBP","ENSG00000115677","high density lipoprotein binding protein [Source:HGNC Symbol;Acc:HGNC:4857]"
"37","Q8VDP2","ENSMUSG00000006423","37.1.1","STEEP1","ENSG00000018610","STING1 ER exit protein 1 [Source:HGNC Symbol;Acc:HGNC:26239]"
"38","Q91ZW3","ENSMUSG00000031715","38.1.1","SMARCA5","ENSG00000153147","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 [Source:HGNC Symbol;Acc:HGNC:11101]"
"39","Q9CY58","ENSMUSG00000036371","39.1.1","SERBP1","ENSG00000142864","SERPINE1 mRNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17860]"
"40","Q9DCE5","ENSMUSG00000038683","40.1.1","PAK1IP1","ENSG00000111845","PAK1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:20882]"
"41","Q99JX7","ENSMUSG00000010097","41.1.1","NXF1","ENSG00000162231","nuclear RNA export factor 1 [Source:HGNC Symbol;Acc:HGNC:8071]"
"42","O88569","ENSMUSG00000004980","42.1.1","HNRNPA2B1","ENSG00000122566","heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:HGNC:5033]"
"43","P84099","ENSMUSG00000017404","43.1.1","RPL19","ENSG00000108298","ribosomal protein L19 [Source:HGNC Symbol;Acc:HGNC:10312]"
"44","P97820","N/A","44.1.1","N/A","N/A","N/A"
"45","Q02053","ENSMUSG00000001924","45.1.1","UBA1","ENSG00000130985","ubiquitin like modifier activating enzyme 1 [Source:HGNC Symbol;Acc:HGNC:12469]"
"46","Q3UMU9","ENSMUSG00000002833","46.1.1","HDGFL2","ENSG00000167674","HDGF like 2 [Source:HGNC Symbol;Acc:HGNC:14680]"
"47","Q8K310","ENSMUSG00000037236","47.1.1","MATR3","ENSG00000015479","matrin 3 [Source:HGNC Symbol;Acc:HGNC:6912]"
"47","Q8K310","ENSMUSG00000037236","47.1.2","MATR3","ENSG00000280987","matrin 3 [Source:NCBI gene (formerly Entrezgene);Acc:9782]"
"48","Q99LH1","ENSMUSG00000028869","48.1.1","GNL2","ENSG00000134697","G protein nucleolar 2 [Source:HGNC Symbol;Acc:HGNC:29925]"
"49","Q9CXV9","ENSMUSG00000032002","49.1.1","DCUN1D5","ENSG00000137692","defective in cullin neddylation 1 domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28409]"
"50","P50615","ENSMUSG00000022863","50.1.1","BTG3","ENSG00000154640","BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]"
"51","Q3UKJ7","ENSMUSG00000028409","51.1.1","SMU1","ENSG00000122692","SMU1 DNA replication regulator and spliceosomal factor [Source:HGNC Symbol;Acc:HGNC:18247]"
"52","Q3UMC0","ENSMUSG00000027722","52.1.1","SPATA5","ENSG00000145375","spermatogenesis associated 5 [Source:HGNC Symbol;Acc:HGNC:18119]"
"53","Q61595-5","N/A","53.1.1","N/A","N/A","N/A"
"54","Q80VD1","ENSMUSG00000027349","54.1.1","FAM98B","ENSG00000171262","family with sequence similarity 98 member B [Source:HGNC Symbol;Acc:HGNC:26773]"
"55","Q6P9R4","ENSMUSG00000004568","55.1.1","ARHGEF18","ENSG00000104880","Rho/Rac guanine nucleotide exchange factor 18 [Source:HGNC Symbol;Acc:HGNC:17090]"
"56","Q9CPN8","ENSMUSG00000029814","56.1.1","IGF2BP3","ENSG00000136231","insulin like growth factor 2 mRNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:28868]"
"57","B1AXD8","ENSMUSG00000028291","57.1.1","AKIRIN2","ENSG00000135334","akirin 2 [Source:HGNC Symbol;Acc:HGNC:21407]"
"58","E9Q7D5","ENSMUSG00000033542","58.1.1","ARHGEF5","ENSG00000050327","Rho guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:13209]"
"59","P21460","ENSMUSG00000027447","59.1.1","CST3","ENSG00000101439","cystatin C [Source:HGNC Symbol;Acc:HGNC:2475]"
"60","P43275","ENSMUSG00000049539","60.1.1","H1-1","ENSG00000124610","H1.1 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4715]"
"61","P61222","ENSMUSG00000058355","61.1.1","ABCE1","ENSG00000164163","ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]"
"62","Q01320","ENSMUSG00000020914","62.1.1","TOP2A","ENSG00000131747","DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]"
"63","Q78WZ7","ENSMUSG00000020561","63.1.1","POLR1F","ENSG00000105849","RNA polymerase I subunit F [Source:HGNC Symbol;Acc:HGNC:18027]"
"64","Q8BIA4","ENSMUSG00000032867","64.1.1","FBXW8","ENSG00000174989","F-box and WD repeat domain containing 8 [Source:HGNC Symbol;Acc:HGNC:13597]"
"65","Q8BPM2","ENSMUSG00000034761","65.1.1","MAP4K5","ENSG00000012983","mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6867]"
"66","Q8C547","ENSMUSG00000039414","66.1.1","HEATR5B","ENSG00000008869","HEAT repeat containing 5B [Source:HGNC Symbol;Acc:HGNC:29273]"
"67","Q8C7Q4","ENSMUSG00000094936","67.1.1","RBM4","ENSG00000173933","RNA binding motif protein 4 [Source:HGNC Symbol;Acc:HGNC:9901]"
"68","Q9JJZ6","ENSMUSG00000052040","68.1.1","KLF13","ENSG00000169926","Kruppel like factor 13 [Source:HGNC Symbol;Acc:HGNC:13672]"
"69","Q9JMD0","ENSMUSG00000017421","69.1.1","ZNF207","ENSG00000010244","zinc finger protein 207 [Source:HGNC Symbol;Acc:HGNC:12998]"
"70","O70422","ENSMUSG00000001524","70.1.1","GTF2H4","ENSG00000213780","general transcription factor IIH subunit 4 [Source:HGNC Symbol;Acc:HGNC:4658]"
"71","Q99JF8","ENSMUSG00000028484","71.1.1","PSIP1","ENSG00000164985","PC4 and SFRS1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9527]"
"72","Q9CW03","ENSMUSG00000024974","72.1.1","SMC3","ENSG00000108055","structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]"
"73","O88532","ENSMUSG00000022201","73.1.1","ZFR","ENSG00000056097","zinc finger RNA binding protein [Source:HGNC Symbol;Acc:HGNC:17277]"
"74","P32233","ENSMUSG00000020457","74.1.1","DRG1","ENSG00000185721","developmentally regulated GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3029]"
"75","Q14AX6","ENSMUSG00000003119","75.1.1","CDK12","ENSG00000167258","cyclin dependent kinase 12 [Source:HGNC Symbol;Acc:HGNC:24224]"
"76","Q3TMW1","ENSMUSG00000063605","76.1.1","CCDC102A","ENSG00000135736","coiled-coil domain containing 102A [Source:HGNC Symbol;Acc:HGNC:28097]"
"77","Q5F2E7","ENSMUSG00000037857","77.1.1","NUFIP2","ENSG00000108256","nuclear FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:17634]"
"78","Q61103","ENSMUSG00000024826","78.1.1","DPF2","ENSG00000133884","double PHD fingers 2 [Source:HGNC Symbol;Acc:HGNC:9964]"
"79","Q62167","ENSMUSG00000000787","79.1.1","DDX3X","ENSG00000215301","DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745]"
"80","Q6PF93","ENSMUSG00000033628","80.1.1","PIK3C3","ENSG00000078142","phosphatidylinositol 3-kinase catalytic subunit type 3 [Source:HGNC Symbol;Acc:HGNC:8974]"
"81","Q8CJF7","ENSMUSG00000026491","81.1.1","AHCTF1","ENSG00000153207","AT-hook containing transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:24618]"
"82","Q8VE73","ENSMUSG00000038545","82.1.1","CUL7","ENSG00000044090","cullin 7 [Source:HGNC Symbol;Acc:HGNC:21024]"
"83","Q9CWX9","ENSMUSG00000030204","83.1.1","DDX47","ENSG00000213782","DEAD-box helicase 47 [Source:HGNC Symbol;Acc:HGNC:18682]"
"84","Q9ERA6","ENSMUSG00000029345","84.1.1","TFIP11","ENSG00000100109","tuftelin interacting protein 11 [Source:HGNC Symbol;Acc:HGNC:17165]"
"85","Q9JLM8","ENSMUSG00000027797","85.1.1","DCLK1","ENSG00000133083","doublecortin like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2700]"
"86","Q9WUK2","ENSMUSG00000040731","86.1.1","EIF4H","ENSG00000106682","eukaryotic translation initiation factor 4H [Source:HGNC Symbol;Acc:HGNC:12741]"
"87","Q9Z2X1","ENSMUSG00000042079","87.1.1","HNRNPF","ENSG00000169813","heterogeneous nuclear ribonucleoprotein F [Source:HGNC Symbol;Acc:HGNC:5039]"
"88","O88738","ENSMUSG00000024073","88.1.1","BIRC6","ENSG00000115760","baculoviral IAP repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:13516]"
"89","P26450","ENSMUSG00000041417","89.1.1","PIK3R1","ENSG00000145675","phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]"
"90","Q3UCQ1","ENSMUSG00000039275","90.1.1","FOXK2","ENSG00000141568","forkhead box K2 [Source:HGNC Symbol;Acc:HGNC:6036]"
"91","Q6ZQ58","ENSMUSG00000037331","91.1.1","LARP1","ENSG00000155506","La ribonucleoprotein 1, translational regulator [Source:HGNC Symbol;Acc:HGNC:29531]"
"92","Q8CHC4","N/A","92.1.1","N/A","N/A","N/A"
"93","Q922M3","ENSMUSG00000001098","93.1.1","KCTD10","ENSG00000110906","potassium channel tetramerization domain containing 10 [Source:HGNC Symbol;Acc:HGNC:23236]"
"94","Q9CX97","ENSMUSG00000042660","94.1.1","WDR55","ENSG00000120314","WD repeat domain 55 [Source:HGNC Symbol;Acc:HGNC:25971]"
"95","Q8C0V9","ENSMUSG00000048285","95.1.1","FRMD6","ENSG00000139926","FERM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19839]"
"96","Q8R349","ENSMUSG00000038416","96.1.1","CDC16","ENSG00000130177","cell division cycle 16 [Source:HGNC Symbol;Acc:HGNC:1720]"
"97","P16254","ENSMUSG00000009549","97.1.1","SRP14","ENSG00000140319","signal recognition particle 14 [Source:HGNC Symbol;Acc:HGNC:11299]"
"98","P53995","ENSMUSG00000014355","98.1.1","ANAPC1","ENSG00000153107","anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988]"
"99","P58468","ENSMUSG00000032977","99.1.1","SLX9","ENSG00000160256","SLX9 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:15811]"
"100","P61021","ENSMUSG00000000711","100.1.1","RAB5B","ENSG00000111540","RAB5B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9784]"
"101","P62751","ENSMUSG00000058546","101.1.1","RPL23A","ENSG00000198242","ribosomal protein L23a [Source:HGNC Symbol;Acc:HGNC:10317]"
"102","Q61048","ENSMUSG00000022023","102.1.1","WBP4","ENSG00000120688","WW domain binding protein 4 [Source:HGNC Symbol;Acc:HGNC:12739]"
"103","Q80U78-2","ENSMUSG00000028580","103.1.1","PUM1","ENSG00000134644","pumilio RNA binding family member 1 [Source:HGNC Symbol;Acc:HGNC:14957]"
"104","Q8BG81","ENSMUSG00000041815","104.1.1","POLDIP3","ENSG00000100227","DNA polymerase delta interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:23782]"
"105","Q8K301","ENSMUSG00000020677","105.1.1","DDX52","ENSG00000278053","DExD-box helicase 52 [Source:HGNC Symbol;Acc:HGNC:20038]"
"106","Q91YT7","ENSMUSG00000040025","106.1.1","YTHDF2","ENSG00000198492","YTH N6-methyladenosine RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:31675]"
"107","Q921F2","ENSMUSG00000041459","107.1.1","TARDBP","ENSG00000120948","TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]"
"108","Q99PV0","ENSMUSG00000020850","108.1.1","PRPF8","ENSG00000174231","pre-mRNA processing factor 8 [Source:HGNC Symbol;Acc:HGNC:17340]"
"109","Q9CQK7","ENSMUSG00000019782","109.1.1","RWDD1","ENSG00000111832","RWD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20993]"
"110","Q9D0R4","ENSMUSG00000004393","110.1.1","DDX56","ENSG00000136271","DEAD-box helicase 56 [Source:HGNC Symbol;Acc:HGNC:18193]"
"111","Q9JJI8","ENSMUSG00000057322","111.1.1","RPL38","ENSG00000172809","ribosomal protein L38 [Source:HGNC Symbol;Acc:HGNC:10349]"
"112","O54724","ENSMUSG00000004044","112.1.1","CAVIN1","ENSG00000177469","caveolae associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9688]"
"113","P97386","N/A","113.1.1","N/A","N/A","N/A"
"114","Q8CG73","ENSMUSG00000033282","114.1.1","RPGRIP1L","ENSG00000103494","RPGRIP1 like [Source:HGNC Symbol;Acc:HGNC:29168]"
"115","Q99KC8","ENSMUSG00000023186","115.1.1","VWA5A","ENSG00000110002","von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]"
"116","B1AY10","ENSMUSG00000028423","116.1.1","NFX1","ENSG00000086102","nuclear transcription factor, X-box binding 1 [Source:HGNC Symbol;Acc:HGNC:7803]"
"117","Q811P8","ENSMUSG00000041444","117.1.1","ARHGAP32","ENSG00000134909","Rho GTPase activating protein 32 [Source:HGNC Symbol;Acc:HGNC:17399]"
"118","Q9QUG2","ENSMUSG00000021668","118.1.1","POLK","ENSG00000122008","DNA polymerase kappa [Source:HGNC Symbol;Acc:HGNC:9183]"
"119","P43135","ENSMUSG00000030551","119.1.1","NR2F2","ENSG00000185551","nuclear receptor subfamily 2 group F member 2 [Source:HGNC Symbol;Acc:HGNC:7976]"
"120","Q8CBW3","ENSMUSG00000058835","120.1.1","ABI1","ENSG00000136754","abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]"
"121","Q8K327","ENSMUSG00000047710","121.1.1","CHAMP1","ENSG00000198824","chromosome alignment maintaining phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:20311]"
"122","Q62448","N/A","122.1.1","N/A","N/A","N/A"
"123","Q6WKZ8","ENSMUSG00000023977","123.1.1","UBR2","ENSG00000024048","ubiquitin protein ligase E3 component n-recognin 2 [Source:HGNC Symbol;Acc:HGNC:21289]"
"124","Q8CH72","ENSMUSG00000051675","124.1.1","TRIM32","ENSG00000119401","tripartite motif containing 32 [Source:HGNC Symbol;Acc:HGNC:16380]"
"125","Q9CPR4","N/A","125.1.1","N/A","N/A","N/A"
"126","E9Q394","ENSMUSG00000066406","126.1.1","N/A","N/A","N/A"
"127","O08848","ENSMUSG00000018199","127.1.1","RO60","ENSG00000116747","Ro60, Y RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11313]"
"128","P62852","ENSMUSG00000009927","128.1.1","RPS25","ENSG00000118181","ribosomal protein S25 [Source:HGNC Symbol;Acc:HGNC:10413]"
"129","P63158","ENSMUSG00000066551","129.1.1","N/A","N/A","N/A"
"130","P80313","ENSMUSG00000030007","130.1.1","CCT7","ENSG00000135624","chaperonin containing TCP1 subunit 7 [Source:HGNC Symbol;Acc:HGNC:1622]"
"131","P97329","ENSMUSG00000003779","131.1.1","KIF20A","ENSG00000112984","kinesin family member 20A [Source:HGNC Symbol;Acc:HGNC:9787]"
"132","Q02248","ENSMUSG00000006932","132.1.1","CTNNB1","ENSG00000168036","catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]"
"133","Q80U70","ENSMUSG00000017548","133.1.1","SUZ12","ENSG00000178691","SUZ12 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:17101]"
"134","Q8CGB6","ENSMUSG00000037003","134.1.1","TNS2","ENSG00000111077","tensin 2 [Source:HGNC Symbol;Acc:HGNC:19737]"
"135","Q8CGF7","ENSMUSG00000024498","135.1.1","TCERG1","ENSG00000113649","transcription elongation regulator 1 [Source:HGNC Symbol;Acc:HGNC:15630]"
"136","Q91VY9","ENSMUSG00000052253","136.1.1","ZNF622","ENSG00000173545","zinc finger protein 622 [Source:HGNC Symbol;Acc:HGNC:30958]"
"137","Q99L48","ENSMUSG00000027787","137.1.1","NMD3","ENSG00000169251","NMD3 ribosome export adaptor [Source:HGNC Symbol;Acc:HGNC:24250]"
"138","Q99LF4","ENSMUSG00000001783","138.1.1","RTCB","ENSG00000100220","RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:HGNC Symbol;Acc:HGNC:26935]"
"139","Q9CU62","ENSMUSG00000041133","139.1.1","SMC1A","ENSG00000072501","structural maintenance of chromosomes 1A [Source:HGNC Symbol;Acc:HGNC:11111]"
"140","Q9D0I9","ENSMUSG00000018848","140.1.1","RARS1","ENSG00000113643","arginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9870]"
"141","Q9D8M4","ENSMUSG00000063888","141.1.1","RPL7L1","ENSG00000146223","ribosomal protein L7 like 1 [Source:HGNC Symbol;Acc:HGNC:21370]"
"142","Q9DCU6","ENSMUSG00000003299","142.1.1","MRPL4","ENSG00000105364","mitochondrial ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:14276]"
"143","Q9JIY2","ENSMUSG00000020659","143.1.1","CBLL1","ENSG00000105879","Cbl proto-oncogene like 1 [Source:HGNC Symbol;Acc:HGNC:21225]"
"144","Q9JMH9","ENSMUSG00000000631","144.1.1","MYO18A","ENSG00000196535","myosin XVIIIA [Source:HGNC Symbol;Acc:HGNC:31104]"
"145","Q9QYH6","ENSMUSG00000025151","145.1.1","MAGED1","ENSG00000179222","MAGE family member D1 [Source:HGNC Symbol;Acc:HGNC:6813]"
"146","Q9WTX6","ENSMUSG00000029686","146.1.1","CUL1","ENSG00000055130","cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]"
"147","P58462","ENSMUSG00000030067","147.1.1","FOXP1","ENSG00000114861","forkhead box P1 [Source:HGNC Symbol;Acc:HGNC:3823]"
"147","P58462","ENSMUSG00000030067","147.1.2","","ENSG00000285708","novel protein"
"148","Q8K1N2","ENSMUSG00000033149","148.1.1","PHLDB2","ENSG00000144824","pleckstrin homology like domain family B member 2 [Source:HGNC Symbol;Acc:HGNC:29573]"
"149","O35130","ENSMUSG00000004268","149.1.1","EMG1","ENSG00000126749","EMG1 N1-specific pseudouridine methyltransferase [Source:HGNC Symbol;Acc:HGNC:16912]"
"150","P21279","ENSMUSG00000024639","150.1.1","N/A","N/A","N/A"
"151","Q8BUN5","ENSMUSG00000032402","151.1.1","SMAD3","ENSG00000166949","SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]"
"152","Q99NH0","ENSMUSG00000055204","152.1.1","ANKRD17","ENSG00000132466","ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:23575]"
"153","Q9CS42","ENSMUSG00000025742","153.1.1","PRPS2","ENSG00000101911","phosphoribosyl pyrophosphate synthetase 2 [Source:HGNC Symbol;Acc:HGNC:9465]"
"154","Q9D1B9","ENSMUSG00000024181","154.1.1","MRPL28","ENSG00000086504","mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:14484]"
"155","Q9DBZ5","ENSMUSG00000053565","155.1.1","EIF3K","ENSG00000178982","eukaryotic translation initiation factor 3 subunit K [Source:HGNC Symbol;Acc:HGNC:24656]"
"156","Q9ERK4","ENSMUSG00000002718","156.1.1","CSE1L","ENSG00000124207","chromosome segregation 1 like [Source:HGNC Symbol;Acc:HGNC:2431]"
"157","Q9ERV1","ENSMUSG00000000439","157.1.1","MKRN2","ENSG00000075975","makorin ring finger protein 2 [Source:HGNC Symbol;Acc:HGNC:7113]"
"158","P58871","ENSMUSG00000033955","158.1.1","TNKS1BP1","ENSG00000149115","tankyrase 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19081]"
"159","Q6PAM1","ENSMUSG00000053841","159.1.1","TXLNA","ENSG00000084652","taxilin alpha [Source:HGNC Symbol;Acc:HGNC:30685]"
"160","P53996","ENSMUSG00000030057","160.1.1","CNBP","ENSG00000169714","CCHC-type zinc finger nucleic acid binding protein [Source:HGNC Symbol;Acc:HGNC:13164]"
"161","Q6PB44","ENSMUSG00000036057","161.1.1","PTPN23","ENSG00000076201","protein tyrosine phosphatase non-receptor type 23 [Source:HGNC Symbol;Acc:HGNC:14406]"
"162","Q9Z2Y8","ENSMUSG00000031485","162.1.1","PLPBP","ENSG00000147471","pyridoxal phosphate binding protein [Source:HGNC Symbol;Acc:HGNC:9457]"
"163","E1U8D0","N/A","163.1.1","N/A","N/A","N/A"
"164","E9PVA8","ENSMUSG00000041638","164.1.1","GCN1","ENSG00000089154","GCN1 activator of EIF2AK4 [Source:HGNC Symbol;Acc:HGNC:4199]"
"165","E9QAT4-2","ENSMUSG00000026924","165.1.1","SEC16A","ENSG00000148396","SEC16 homolog A, endoplasmic reticulum export factor [Source:HGNC Symbol;Acc:HGNC:29006]"
"166","O35134","ENSMUSG00000049553","166.1.1","POLR1A","ENSG00000068654","RNA polymerase I subunit A [Source:HGNC Symbol;Acc:HGNC:17264]"
"167","P17751","ENSMUSG00000023456","167.1.1","TPI1","ENSG00000111669","triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]"
"168","P47857","ENSMUSG00000033065","168.1.1","PFKM","ENSG00000152556","phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]"
"169","P62960","ENSMUSG00000028639","169.1.1","YBX1","ENSG00000065978","Y-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8014]"
"170","P63005","ENSMUSG00000020745","170.1.1","PAFAH1B1","ENSG00000007168","platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]"
"171","P63325","ENSMUSG00000052146","171.1.1","RPS10","ENSG00000124614","ribosomal protein S10 [Source:HGNC Symbol;Acc:HGNC:10383]"
"172","P70195","ENSMUSG00000026750","172.1.1","PSMB7","ENSG00000136930","proteasome 20S subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:9544]"
